object_type,type,rooms,level,kitchen_area,living_area,area,price_by_meter,price,material,published,updated,build_year,build_serias,build_type,max_levels,min_levels,rubbish_chute,enterances,build_overlap,build_walls,heating,gas,longitude,latitude,agencyName,areaRating,city,remoute_from_center,build_oldest
0,Многоквартирный дом,1,2/16,10.0,19.0,40.0,1625.0,65000.0,Блоки,9/2/2022,9/2/2022,1983,П-68,0,16,16,Есть,1,Железобетонные,Блочные,Центральное,Нет,37.675559,55.769362,АРМАТА,3.8119370000000004,Москва,4.222531677520652,old
0,Квартира,2,2/9,7.0,30.0,44.0,1091.0,48000.0,Панель,9/2/2022,9/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.545905,55.600435,АРМАТА,4.0575047,Москва,17.458069014830063,new
0,Многоквартирный дом,1,8/12,10.0,20.0,39.0,1231.0,48000.0,Панель,8/2/2022,8/2/2022,1996,КОПЭ,0,22,1,Есть,4,Железобетонные,Блочные,Центральное,Нет,37.436040999999996,55.741004000000004,Кристина,3.7132120000000004,Москва,11.342806169953713,old
0,Многоквартирный дом,4,8/9,6.0,36.0,63.0,1111.0,70000.0,Панель,10/1/2022,8/2/2022,1973,II-49-06,0,9,9,Есть,6,Железобетонные,Железобетон,Центральное,Да,37.757549,55.821491,Антонина,3.547229,Москва,11.782656882090563,old
0,Многоквартирный дом,3,7/9,8.5,40.0,60.0,1117.0,67000.0,Кирпич,10/2/2022,10/2/2022,1972,II-49,0,9,9,Есть,4,Железобетонные,Блочные,Центральное,Да,37.540227,55.680565,Игорь Минаев,4.0804205,Москва,9.276967646424565,old
0,Многоквартирный дом,2,1/3,8.0,31.0,54.0,1111.0,60000.0,Кирпич,2/2/2022,7/2/2022,1949,A-II-43,0,3,3,Нет,2,Деревянные,Кирпич,Центральное,Да,37.670178,55.779727,Irina Demidenko,3.4504762,Москва,4.597036873397006,old
0,Многоквартирный дом,1,6/12,10.0,19.0,40.0,1000.0,40000.0,Монолит,8/2/2022,8/2/2022,1970,П-18/22,0,12,12,Есть,1,Железобетонные,Монолитные,Центральное,Да,37.663651,55.625038,Галина,3.6551089999999995,Москва,14.479384131049814,old
0,Многоквартирный дом,1,4/5,6.0,16.8,30.0,966667.0,29000000.0,Кирпич,10/2/2022,10/2/2022,1960,индивидуальный проект,0,5,5,Нет,4,Железобетонные,Кирпич,Центральное,Да,37.532607,55.835405,CENTURY 21 Россия,3.8001947,Москва,10.62315586526616,old
0,Многоквартирный дом,2,4/9,7.5,24.0,39.0,1026.0,40000.0,Кирпич,9/2/2022,9/2/2022,1969,П-18,0,9,9,Есть,1,Железобетонные,Блочные,Центральное,Да,37.583086,55.876006000000004,анастасия,3.7183936,Москва,13.931694325564807,old
0,Квартира,0,4/5,3.0,12.0,18.0,2500.0,45000.0,Кирпич,22/12/2021,7/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.576151,55.845926,Алла,4.2535715,Москва,10.721815075469232,new
0,Многоквартирный дом,1,1/5,6.0,17.1,31.7,1388.0,44000.0,Панель,21/1/2022,10/2/2022,1960,индивидуальный проект,0,5,1,Нет,3,0,Не заполнено,0,0,37.481677399999995,55.7357132,Сермус Макс,3.9491657999999994,Москва,8.606946413554445,old
0,Квартира,3,7/17,30.0,70.0,122.0,1434.0,175000.0,Монолит,17/1/2022,9/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.599381,55.779864,Ольга,3.873555,Москва,3.2410300589271337,new
0,Многоквартирный дом,2,14/20,12.0,37.0,60.0,1083.0,65000.0,Панель,7/2/2022,10/2/2022,2007,П-3м,0,23,23,Есть,8,Железобетонные,Монолитные,Центральное,Нет,37.751492999999996,55.71658000000001,Роман,3.4953578000000003,Москва,9.416219378691903,middle
0,Многоквартирный дом,2,14/17,9.2,32.0,53.2,1090.0,58000.0,Панель,7/2/2022,10/2/2022,2000,П-3м,0,17,17,Есть,4,Железобетонные,Железобетон,Центральное,Нет,37.591494,55.606563,елена,3.7829945,Москва,16.28738105197252,middle
0,Многоквартирный дом,3,4/5,8.0,56.0,78.0,1000.0,78000.0,Кирпич,7/2/2022,10/2/2022,1956,индивидуальный проект,0,5,5,Нет,3,Железобетонные,Кирпич,Центральное,Да,37.56353,55.684808,НИКОН,4.0471396,Москва,8.186781610388874,old
